,광역시도,시군,pop,moon,hong,ahn
131,강원도,평창군,27444,"8,591(31.48)","9,348(34.26)","5,998(21.98)"
132,강원도,화천군,17083,"5,161(30.55)","5,019(29.71)","4,000(23.68)"
133,강원도,양구군,14848,"4,526(30.81)","4,250(28.93)","3,519(23.96)"
134,강원도,철원군,29103,"8,998(31.21)","8,437(29.26)","7,101(24.63)"
135,충청북도,청주시상당구,106316,"42,308(39.97)","27,108(25.61)","21,983(20.76)"
136,충청북도,청주시서원구,134980,"56,521(42.03)","30,471(22.66)","28,912(21.50)"
137,충청북도,청주시흥덕구,153064,"66,281(43.49)","31,023(20.35)","32,756(21.49)"
138,충청북도,청주시청원구,115327,"50,487(43.94)","24,026(20.91)","24,203(21.06)"
139,충청북도,충주시,127426,"43,551(34.35)","38,532(30.39)","28,588(22.54)"
140,충청북도,제천시,84700,"28,517(33.86)","26,977(32.03)","17,768(21.09)"
141,충청북도,단양군,19905,"5,708(28.85)","7,901(39.94)","4,026(20.35)"
142,충청북도,영동군,32554,"10,432(32.25)","10,958(33.87)","7,017(21.69)"
143,충청북도,보은군,22341,"7,268(32.76)","7,587(34.20)","4,910(22.13)"
144,충청북도,옥천군,33175,"11,181(33.94)","10,431(31.67)","7,465(22.66)"
145,충청북도,음성군,56788,"20,723(36.73)","15,180(26.90)","13,381(23.71)"
146,충청북도,진천군,41255,"15,844(38.61)","10,265(25.01)","9,489(23.12)"
147,충청북도,괴산군,25824,"7,876(30.67)","9,435(36.75)","5,830(22.70)"
148,충청북도,증평군,21786,"8,109(37.45)","5,608(25.90)","5,126(23.67)"
149,충청남도,천안시서북구,212329,"94,202(44.53)","37,293(17.62)","47,891(22.63)"
150,충청남도,천안시동남구,151132,"59,695(39.67)","34,869(23.17)","34,933(23.21)"
151,충청남도,공주시,67018,"25,036(37.58)","18,449(27.69)","15,814(23.73)"
152,충청남도,보령시,62825,"20,674(33.13)","19,453(31.18)","15,428(24.72)"
153,충청남도,아산시,173795,"73,461(42.45)","36,741(21.23)","38,368(22.17)"
154,충청남도,서산시,98859,"37,376(37.99)","24,572(24.97)","23,237(23.62)"
155,충청남도,태안군,38740,"12,881(33.48)","12,666(32.92)","8,940(23.23)"
156,충청남도,금산군,32968,"11,182(34.17)","9,416(28.78)","8,787(26.85)"
157,충청남도,논산시,72434,"28,265(39.23)","16,948(23.52)","18,844(26.15)"
158,충청남도,계룡시,26530,"9,566(36.20)","6,261(23.69)","6,722(25.44)"
159,충청남도,당진시,95417,"37,191(39.15)","23,597(24.84)","20,852(21.95)"
160,충청남도,부여군,43288,"13,492(31.37)","13,761(32.00)","11,022(25.63)"
161,충청남도,서천군,34889,"12,554(36.20)","9,891(28.52)","8,744(25.21)"
162,충청남도,홍성군,59645,"21,021(35.43)","16,682(28.11)","14,251(24.02)"
163,충청남도,청양군,20667,"6,185(30.12)","7,104(34.59)","5,140(25.03)"
164,충청남도,예산군,49668,"13,880(28.10)","18,911(38.29)","11,243(22.76)"
165,전라북도,전주시완산구,236383,"157,637(66.89)","7,003(2.97)","50,506(21.43)"
166,전라북도,전주시덕진구,187921,"125,375(66.89)","5,183(2.76)","40,188(21.44)"
167,전라북도,군산시,172330,"109,379(63.65)","6,360(3.70)","42,387(24.66)"
168,전라북도,익산시,192208,"123,422(64.45)","6,470(3.37)","45,737(23.88)"
